,title,author,year,url,abstract,Unnamed: 0
0,Natural language processing,"['KR Chowdhary', 'KR Chowdhary']",2020,https://link.springer.com/chapter/10.1007/978-81-322-3972-7_19,"Python is also available with an extensive standard library, that includes tools for speech  processing, natural language processing, numerical processing, and graphical programming [",
1,Natural language processing: an introduction,"['PM Nadkarni', 'L Ohno-Machado']",2011,https://academic.oup.com/jamia/article-abstract/18/5/544/829676,"This tutorial provides an overview of natural language processing (NLP) and lays a  While  CFGs are theoretically inadequate for natural language,10 they are often employed for NLP in",
2,Natural language processing: a historical review,['KS Jones'],1994,https://link.springer.com/chapter/10.1007/978-0-585-35958-8_1,"This paper reviews natural language processing (NLP) from the late 1940's to the present,  seeking to identify its successive trends as these reflect concerns with different problems or",
3,Machine learning algorithms-a review,['B Mahesh'],2020,https://www.researchgate.net/profile/Batta-Mahesh/publication/344717762_Machine_Learning_Algorithms_-A_Review/links/5f8b2365299bf1b53e2d243a/Machine-Learning-Algorithms-A-Review.pdf?eid=5082902844932096t,Here‟sa quick look at some of the commonly used algorithms in machine learning (ML)  Supervised Learning Supervised learning is the machine learning task of learning a function,
4,Machine learning,['E Alpaydin'],2021,https://books.google.com/books?hl=en&lr=&id=2nQJEAAAQBAJ&oi=fnd&pg=PR7&dq=Machine+Learning&ots=fI-aQa_zhs&sig=aYTTnn2zLXWN7BnE60bug20sZnU,MIT presents a concise primer on machine learning—computer programs that learn from  data and the basis of applications like voice recognition and driverless cars. No in-depth,
5,"Machine learning: Trends, perspectives, and prospects","['MI Jordan', 'TM Mitchell']",2015,https://www.science.org/doi/abs/10.1126/science.aaa8415,Machine learning addresses the question of how to build computers that improve  Recent  progress in machine learning has been driven both by the development of new learning,
6,Deep learning for computer vision: A brief review,"['A Voulodimos', 'N Doulamis', 'A Doulamis']",2018,https://onlinelibrary.wiley.com/doi/abs/10.1155/2018/7068349,"The overview is intended to be useful to computer vision and  the art in deep learning for  computer vision tasks, such as object  learning algorithms to key computer vision tasks, such as",
7,Computer vision: algorithms and applications,['R Szeliski'],2022,https://books.google.com/books?hl=en&lr=&id=QptXEAAAQBAJ&oi=fnd&pg=PR9&dq=Computer+Vision&ots=BNwiv4Xysj&sig=rxSCNeWBbCx1NoarzcZfzEBtbkg,doing computer vision research in  in computer vision to students in both computer science  and electrical engineering. I prefer students to have either an image processing or a computer,
8,Signal processing for computer vision,"['GH Granlund', 'H Knutsson']",2013,https://books.google.com/books?hl=en&lr=&id=FNDkBwAAQBAJ&oi=fnd&pg=PR9&dq=Computer+Vision&ots=_81H975FNe&sig=tnVj9TRhVFlrbHcJaWO2rGfEdMc,"Interest in computer vision has increased considerably as  over the past few decades, the  vision field is still in its infancy.  low-level methods for computer vision. The field has seen a",
9,Using satellite imagery to understand and promote sustainable development,"['M Burke', 'A Driscoll', 'DB Lobell', 'S Ermon']",2021,https://www.science.org/doi/abs/10.1126/science.abe8628,"abundance and quality of satellite imagery. Multiple public and  that seeks to use this satellite  imagery to measure and  intelligence to extract information from images, as these methods",
10,"IKONOS satellite, imagery, and products","['G Dial', 'H Bowen', 'F Gerlach', 'J Grodecki']",2003,https://www.sciencedirect.com/science/article/pii/S0034425703002293,"Images at low elevation angles have long atmospheric path lengths and large GSD. Space  Imaging schedules satellite image collection to avoid specular reflections from water bodies,",
11,Deepsat: a learning framework for satellite imagery,"['S Basu', 'S Ganguly', 'S Mukhopadhyay']",2015,https://dl.acm.org/doi/abs/10.1145/2820783.2820816,"satellite datasets called SAT-4 and SAT-6, and (2) then, we propose a classification framework  that extracts features from an input image,  ing better representations for satellite imagery.",
